Temperature,Humidity,Precipitation,SpeciesRichness,DominantSpecies,Abundance,ParasiteLoad,PollinationRate,PredationRate,LightIntensity
17.4,40,4.2,11,Beetle,106,3,0.52,0.07,128
31.5,76.9,8.9,11,Bee,403,3.6,0.34,0.2,398.6
27.1,47.2,14.3,16,Bee,219,3.6,0.95,0.46,332.4
25.9,48.4,8.2,4,Beetle,,0.2,0.91,0.48,281.7
21.9,69.9,3.8,18,Beetle,189,2.6,0.5,0.43,592.8
21.1,36.7,,2,Butterfly,469,4,0.19,0.12,257.1
23.3,69.9,13,8,Ant,,1.2,0.29,0.24,291.3
28.6,83.3,17.3,3,Bee,132,2.3,0.34,0.16,310.3
32.5,,0.5,13,Bee,125,2.2,0.54,0.14,525.3
25.2,56.4,5.3,11,Beetle,,2,0.4,0.36,974.6
28.4,56.3,10,8,Ant,322,0.6,0.8,0.27,558.6
26.7,75.9,1.3,9,Bee,220,2.6,0.53,0.2,390.6
27.5,63.9,19.9,10,Beetle,141,2.2,0.88,0.1,581.2
28.5,35.1,4.7,16,Butterfly,89,3.3,,0.3,662.5
31.8,65,7.5,11,Butterfly,327,2.7,0.3,0.21,658.6
16.7,78.9,4.3,14,Wasp,241,0.1,0.65,0.23,748.6
30.3,50.2,2.1,5,Wasp,443,0.2,0.86,0.19,516.1
,85.7,4.6,5,Butterfly,410,3.5,0.95,0.22,987.8
18.9,75,6,8,Beetle,183,3.5,0.36,0.3,264.9
26.4,64.4,12.7,8,Beetle,66,4.8,0.75,0.06,135.7
16.9,75.1,5.6,10,Wasp,381,4.4,0.11,0.43,429.9
32.7,34.7,7.2,10,Ant,496,2.3,0.89,0.46,528.4
27.5,81.6,0.1,,Butterfly,247,3.1,0.16,0.3,207.6
29.5,79.3,7.3,2,Ant,483,2.3,0.76,0.17,470.5
15.3,84.6,10.7,9,Wasp,129,1.1,,0.5,105.5
26.9,37.7,,13,Ant,245,1.9,0.55,0.22,153.1
26.1,34.9,11.9,18,Beetle,458,0.5,0.29,0.36,365.8
18.2,38.3,5.9,1,Bee,82,3.3,0.64,0.36,859.1
18.1,54,12.6,1,Bee,298,1,0.66,0.25,857.7
28.9,55.5,0.5,15,Ant,50,2.4,0.7,0.14,665.4
21.4,,17.8,16,Bee,128,4.8,0.26,0.48,368.1
28.8,37.3,0.3,,Ant,177,0.2,0.91,0.08,534.4
26.1,42.1,2.5,6,Butterfly,,0.8,0.66,0.27,936.8
22.8,78.7,15.5,20,Wasp,476,1.5,0.14,0.15,170.3
33.5,,0.9,14,Ant,491,4.7,0.72,0.18,330.7
31.8,78.5,14.2,5,Beetle,196,,0.28,0.42,150.1
22.1,30.4,19.4,15,Wasp,103,0.8,0.12,0.22,237
15.9,63.1,17.4,7,Beetle,419,4.9,0.6,0.09,243
21.1,85.9,14.2,12,Bee,388,3.8,0.83,0.14,402.7
23,64.9,19.2,3,Butterfly,133,2.7,0.87,0.44,733.1
29.1,42.4,8.6,19,Bee,306,4.7,0.19,,363.1
34.9,73.1,17.5,20,Butterfly,264,4.4,0.7,0.17,618.6
22.1,,,3,Ant,193,2,0.74,0.35,697.5
30.3,70.1,18.6,9,Wasp,201,,0.37,0.09,616.7
26.9,31.8,3,1,Beetle,261,3.2,0.97,,126.5
28.8,68.2,18.8,16,Ant,241,1.6,0.35,0.24,442
18,31.9,16.7,7,Beetle,235,0.9,0.16,0.46,196.5
23,74.7,16.9,9,Butterfly,201,2.3,0.57,0.19,305.3
19.8,58.4,2.5,,Beetle,491,1.3,0.72,0.47,701.8
21.9,37.3,11.9,16,Bee,150,1.8,,0.28,642.3
25.3,62.6,0.3,,Beetle,497,4.8,0.4,0.21,316.4
28.3,34,14.4,1,Butterfly,218,2.3,0.61,0.34,352.3
,69.2,0.2,13,Beetle,210,3.4,0.9,0.16,268.1
17.6,89.8,1.7,1,Wasp,273,1.7,0.77,0.15,463.1
21.4,76.2,4.5,9,Butterfly,491,5,0.29,0.14,231.2
28.2,64.4,17.5,17,Wasp,430,3.3,0.33,,859.4
